"id","familiar_reproducibility","crisis_agree","job","field"
24,"Fairly familiar","There is a slight crisis of reproducibility","Research Scientist","Other"
27,"Very familiar","There is a slight crisis of reproducibility","Student","Other"
36,"Very familiar","There is a significant crisis of reproducibility","Associate professor/Lecturer","Other"
107,"Very familiar","There is a significant crisis of reproducibility","Principal Investigator","Biology"
112,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
114,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Other"
117,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
145,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Other"
179,"Very familiar","I don't know","Laboratory Director/Head","Earth and Environmental Science"
180,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
188,"Fairly familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Biology"
190,"Very familiar","There is a slight crisis of reproducibility","Principal Investigator","Biology"
196,"Fairly familiar","There is a significant crisis of reproducibility","Student","Medicine"
202,"Fairly familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
203,"Very familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Materials Science"
220,"Very familiar","There is a slight crisis of reproducibility","Post-doctoral Fellow","Biology"
226,"Fairly familiar","There is no crisis of reproducibility","Associate professor/Lecturer","Other"
227,"Not very familiar","There is a slight crisis of reproducibility","Research Scientist","Biology"
246,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Other"
277,"Fairly familiar","There is a slight crisis of reproducibility","PhD Student","Biology"
341,"Somewhat familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
344,"Very familiar","There is a significant crisis of reproducibility","Research Scientist","Physics"
357,"Very familiar","There is a slight crisis of reproducibility","Associate professor/Lecturer","Engineering"
361,"Very familiar","There is a slight crisis of reproducibility","PhD Student","Other"
370,"Very familiar","There is a significant crisis of reproducibility","PhD Student","Biology"
373,"Very familiar","There is a slight crisis of reproducibility","Student","Other"
386,"Fairly familiar","There is a slight crisis of reproducibility","Laboratory Director/Head","Other"
448,"Fairly familiar","There is a significant crisis of reproducibility","Post-doctoral Fellow","Chemistry"
