responseid	respid	interview_start	interview_end	status	In your current role do you carry out primary research?	published_yesNPG	published_yesnonNPG	published_no	published_nosay	familiar_reproducibility	crisis_yesMedia	crisis_yesJournals	crisis_yesConferences	ciris_yesColleagues	crisis_yesElsewhere	crisis_no	significance_crisis	flagged	proportion_reproducible	field_reproducibility	try_failOwn	try_failElse	published_successElse	published_failElse	nopublish_success	noprublish_fail	job	field
24	24	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	0	1	0	0	0	0	There is a slight crisis of reproducibility	A reasonable amount	90%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	Yes	Yes	Research Scientist	Other
27	27	08/10/2015	08/10/2015	complete	Yes	0	0	1	0	Very familiar	0	1	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	40%	"...worse than for other scientific fields on average."""	No	No	No	No	No	No	Student	Other
36	36	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	No	Yes	No	Yes	Yes	No	Associate professor/Lecturer	Other
107	107	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	0	1	0	0	0	0	There is a significant crisis of reproducibility	A reasonable amount	50%	"...worse than for other scientific fields on average."""	Yes	Yes	Yes	Yes	No	No	Principal Investigator	Biology
112	112	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Fairly familiar	0	0	0	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	70%	"...about the same as for other scientific fields on average"""	Yes	Yes	No	No	No	No	PhD Student	Biology
114	114	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a significant crisis of reproducibility	A reasonable amount	20%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	No	PhD Student	Other
117	117	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Fairly familiar	1	0	0	0	0	0	There is a slight crisis of reproducibility	I am unsure	70%	I am unsure	Yes	I can't remember	No	No	No	No	PhD Student	Biology
145	145	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	0	0	0	There is a significant crisis of reproducibility	Not enough	30%	"...worse than for other scientific fields on average."""	Yes	Yes	No	No	No	Yes	Post-doctoral Fellow	Other
179	179	08/10/2015	08/10/2015	complete	Yes	1	0	0	0	Very familiar	0	0	0	0	0	1	I don't know	I am unsure	80%	"...better than for other scientific fields on average."""	Yes	Yes	Yes	No	No	No	Laboratory Director/Head	Earth and Environmental Science
180	180	08/10/2015	08/10/2015	complete	Yes	0	1	0	0	Very familiar	1	1	1	1	0	0	There is a slight crisis of reproducibility	A reasonable amount	80%	"...better than for other scientific fields on average."""	No	Yes	No	Yes	No	No	Post-doctoral Fellow	Biology
